"","name","decade"
"1","Talking Heads","1970s"
"2","Carl Perkins","1940s"
"3","Curtis Mayfield","1950s"
"4","R.E.M.","1980s"
"5","Diana Ross & The Supremes","1960s"
"6","Lynyrd Skynyrd","1960s"
"7","Nine Inch Nails","1980s"
"8","Booker T. & the M.G.'s","1960s"
"9","Guns N' Roses","1980s"
"10","Tom Petty","1960s"
"11","Santana","1960s"
"12","The Yardbirds","1960s"
"13","JAY-Z","1980s"
"14","Gram Parsons","1960s"
"15","2Pac","1980s"
"16","Black Sabbath","1960s"
"17","James Taylor","1960s"
"18","Eminem","1990s"
"19","Creedence Clearwater Revival","1960s"
"20","The Drifters","1950s"
"21","Elvis Costello","1970s"
"22","Four Tops","1950s"
"23","The Stooges","1960s"
"24","Beastie Boys","1980s"
"25","The Shirelles","1950s"
"26","Eagles","1970s"
"27","Hank Williams","1930s"
"28","Radiohead","1990s"
"29","AC/DC","1970s"
"30","Frank Zappa","1950s"
"31","The Police","1970s"
"32","Jackie Wilson","1950s"
"33","The Temptations","1960s"
"34","Cream","1960s"
"35","Al Green","1950s"
"36","The Kinks","1960s"
"37","Phil Spector","1950s"
"38","Tina Turner","1950s"
"39","Joni Mitchell","1960s"
"40","Metallica","1980s"
"41","Sex Pistols","1970s"
"42","Aerosmith","1970s"
"43","Parliament","1960s"
"44","Grateful Dead","1960s"
"45","Dr. Dre","1980s"
"46","Eric Clapton","1960s"
"47","Howlin' Wolf","1930s"
"48","Allman Brothers Band","1960s"
"49","Queen","1970s"
"50","Pink Floyd","1960s"
"51","The Band","1960s"
"52","Elton John","1960s"
"53","Runâ€“D.M.C.","1980s"
"54","Patti Smith","1960s"
"55","Janis Joplin","1960s"
"56","The Byrds","1960s"
"57","Public Enemy","1980s"
"58","Sly & The Family Stone","1960s"
"59","Van Morrison","1950s"
"60","The Doors","1960s"
"61","Simon & Garfunkel","1960s"
"62","David Bowie","1960s"
"63","John Lennon","1950s"
"64","Roy Orbison","1950s"
"65","Madonna","1970s"
"66","Michael Jackson","1960s"
"67","Neil Young","1960s"
"68","The Everly Brothers","1950s"
"69","Smokey Robinson & The Miracles","1950s"
"70","Johnny Cash","1950s"
"71","Nirvana","1980s"
"72","The Who","1960s"
"73","The Clash","1970s"
"74","Prince","1970s"
"75","Ramones","1970s"
"76","Fats Domino","1940s"
"77","Jerry Lee Lewis","1940s"
"78","Bruce Springsteen","1960s"
"79","U2","1970s"
"80","Otis Redding","1950s"
"81","Bo Diddley","1940s"
"82","The Velvet Underground","1960s"
"83","Marvin Gaye","1950s"
"84","Muddy Waters","1940s"
"85","Sam Cooke","1940s"
"86","Stevie Wonder","1960s"
"87","Led Zeppelin","1960s"
"88","Buddy Holly","1950s"
"89","The Beach Boys","1960s"
"90","Bob Marley & The Wailers","1960s"
"91","Ray Charles","1940s"
"92","Aretha Franklin","1950s"
"93","Little Richard","1940s"
"94","James Brown","1950s"
"95","Jimi Hendrix","1960s"
"96","Chuck Berry","1950s"
"97","The Rolling Stones","1960s"
"98","Elvis Presley","1950s"
"99","Bob Dylan","1950s"
"100","The Beatles","1960s"
